Player,Span,Mat,Bat_Inns,NO,Bat_Runs,HS,Bat_Ave,BF,Bat_SR,100,50,0,4s,6s,Bowl_Inns,Overs,Mdns,Bowl_Runs,Wkts,BBI,Bowl_Ave,Econ,Bowl_SR,4W,5W,Country,Role,Base_Price_Lakh,Auction_Price_Lakh,Auction_Team
Gurnoor Brar,2023-2023,1,-,-,-,-,-,-,-,-,-,-,-,-,1,3.0,0,42,0,-,-,14,-,0,0,India,Bowler,30.0,130,Gujarat Titans
HC Brook,2023-2023,11,11,2,190,100*,21.11,154,123.37,1,0,3,23,4,-,-,-,-,-,-,-,-,-,-,-,England,,200.0,625,Delhi Capitals
HV Patel,2012-2026,124,49,17,280,36*,8.75,238,117.64,0,0,10,18,15,121,417.4,2,3727,151,5/27,24.68,8.92,16.5,4,1,India,,200.0,800,Sunrisers Hyderabad
Harpreet Brar,2019-2026,51,27,15,249,29,20.75,206,120.87,0,0,1,20,10,48,143.1,1,1145,37,4/30,30.94,7.99,23.2,1,0,India,,30.0,150,Punjab Kings
Himmat Singh,2025-2026,9,5,2,92,40*,30.66,69,133.33,0,0,0,5,5,-,-,-,-,-,-,-,-,-,-,-,India,Batter,30.0,30,Lucknow Super Giants
I Sharma,2008-2025,117,28,22,57,10*,9.5,69,82.6,0,0,1,4,2,117,403.1,6,3377,96,5/12,35.17,8.37,25.1,0,1,India,Bowler,75.0,75,Gujarat Titans
Ishan Kishan,2016-2026,134,127,9,3600,106*,30.5,2508,143.54,1,23,11,348,166,1,0.1,0,4,0,-,-,24,-,0,0,India,,200.0,1125,Sunrisers Hyderabad
J Fraser-McGurk,2024-2025,15,15,0,385,84,25.66,193,199.48,0,4,3,39,30,-,-,-,-,-,-,-,-,-,-,-,Australia,,200.0,900,Delhi Capitals
J Overton,2025-2026,13,8,4,151,43*,37.75,93,162.36,0,0,0,14,7,13,34.0,0,332,14,4/18,23.71,9.76,14.5,1,0,England,All-rounder,150.0,150,Chennai Super Kings
J Yadav,2015-2023,20,5,1,40,23,10,36,111.11,0,0,0,2,1,20,65.0,0,445,8,1/8,55.62,6.84,48.7,0,0,India,All-rounder,75.0,75,Gujarat Titans
JC Archer,2018-2026,68,42,17,326,32,13.04,225,144.88,0,0,5,18,22,68,263.0,4,2161,84,3/15,25.72,8.21,18.7,0,0,England,,200.0,1250,Rajasthan Royals
JC Buttler,2016-2026,138,136,19,4646,124,39.7,3103,149.72,7,28,8,458,211,-,-,-,-,-,-,-,-,-,-,-,England,Wicket-keeper,200.0,1575,Gujarat Titans
JD Unadkat,2010-2026,116,33,17,201,26,12.56,169,118.93,0,0,2,16,7,115,391.5,3,3504,114,5/25,30.73,8.94,20.6,0,2,India,Bowler,100.0,100,Sunrisers Hyderabad
JG Bethell,2025-2026,9,9,0,163,55,18.11,116,140.51,0,1,0,21,6,-,-,-,-,-,-,-,-,-,-,-,England,All-rounder,125.0,260,Royal Challengers Bengaluru
JM Sharma,2022-2026,71,59,11,1107,85*,23.06,726,152.47,0,1,3,86,68,-,-,-,-,-,-,-,-,-,-,-,India,,100.0,1100,Royal Challengers Bengaluru
JP Inglis,2025-2026,16,16,2,544,85,38.85,314,173.24,0,4,0,58,28,-,-,-,-,-,-,-,-,-,-,-,Australia,,200.0,260,Punjab Kings
JR Hazlewood,2020-2026,52,8,7,19,7*,19,30,63.33,0,0,1,1,0,52,196.0,1,1690,72,4/12,23.47,8.62,16.3,3,0,Australia,,200.0,1250,Royal Challengers Bengaluru
K Kartikeya,2022-2025,16,4,0,12,6,3,17,70.58,0,0,0,1,0,16,47.0,0,407,12,2/22,33.91,8.65,23.5,0,0,India,,30.0,30,Rajasthan Royals
K Khejroliya,2018-2026,9,-,-,-,-,-,-,-,-,-,-,-,-,9,25.1,0,277,6,2/33,46.16,11,25.1,0,0,India,Bowler,30.0,30,Gujarat Titans
K Kushagra,2024-2026,5,4,0,21,18,5.25,21,100,0,0,1,3,0,-,-,-,-,-,-,-,-,-,-,-,India,,30.0,65,Gujarat Titans
K Rabada,2017-2026,101,37,17,262,44,13.1,239,109.62,0,0,4,21,11,101,381.4,3,3358,148,4/21,22.68,8.79,15.4,6,0,South Africa,Bowler,200.0,1075,Gujarat Titans
KH Pandya,2016-2026,158,127,42,1982,86,23.31,1481,133.82,0,3,7,173,76,147,450.1,1,3410,107,4/45,31.86,7.57,25.2,1,0,India,,200.0,575,Royal Challengers Bengaluru
KK Ahmed,2018-2026,76,7,2,2,1*,0.4,9,22.22,0,0,4,0,0,76,276.1,4,2474,91,3/21,27.18,8.95,18.2,0,0,India,,200.0,480,Chennai Super Kings
KK Nair,2013-2026,86,78,5,1712,89,23.45,1304,131.28,0,11,5,188,49,-,-,-,-,-,-,-,-,-,-,-,India,,30.0,50,Delhi Capitals
KL Nagarkoti,2020-2022,12,7,3,22,8*,5.5,33,66.66,0,0,2,1,0,11,30.0,0,285,5,2/13,57,9.5,36,0,0,India,All-rounder,30.0,30,Chennai Super Kings
KL Rahul,2013-2026,159,150,24,5815,152*,46.15,4179,139.14,6,45,5,508,239,-,-,-,-,-,-,-,-,-,-,-,India,Wicket-keeper,200.0,1400,Delhi Capitals
KR Sen,2022-2024,12,1,1,0,0*,-,3,0,0,0,0,0,0,12,40.1,0,387,14,4/20,27.64,9.63,17.2,1,0,India,Bowler,75.0,80,Punjab Kings
KS Rathore,2025-2025,1,1,0,0,0,0,5,0,0,0,1,0,0,-,-,-,-,-,-,-,-,-,-,-,India,Wicket-keeper,30.0,30,Rajasthan Royals
KT Maphaka,2024-2025,4,1,1,8,8*,-,2,400,0,0,0,2,0,4,11.0,0,143,2,1/23,71.5,13,33,0,0,South Africa,Bowler,75.0,150,Rajasthan Royals
KV Sharma,2009-2025,90,41,15,352,39*,13.53,295,119.32,0,0,1,20,17,87,264.1,1,2215,83,4/16,26.68,8.38,19,2,0,India,,50.0,50,Mumbai Indians
Karim Janat,2025-2025,1,-,-,-,-,-,-,-,-,-,-,-,-,1,1.0,0,30,0,-,-,30,-,0,0,Afghanistan,All-rounder,30.0,75,Gujarat Titans
L Ngidi,2018-2026,28,4,2,4,3,2,9,44.44,0,0,1,0,0,27,103.2,2,869,42,4/10,20.69,8.4,14.7,1,0,South Africa,Bowler,30.0,100,Royal Challengers Bengaluru
LB Williams,2024-2024,2,1,1,1,1*,-,2,50,0,0,0,0,0,2,6.0,0,72,1,1/38,72,12,36,0,0,South Africa,Bowler,75.0,75,Mumbai Indians
LH Ferguson,2017-2026,52,11,8,72,24*,24,47,153.19,0,0,1,7,2,52,181.3,1,1671,52,4/28,32.13,9.2,20.9,1,0,New Zealand,,200.0,200,Punjab Kings
LS Livingstone,2019-2026,51,49,7,1066,94,25.38,687,155.16,0,7,3,70,76,27,52.0,0,469,13,3/27,36.07,9.01,24,0,0,England,All-rounder,200.0,875,Royal Challengers Bengaluru
M Jansen,2021-2026,48,26,11,192,34*,12.8,174,110.34,0,0,3,9,9,47,169.3,1,1632,45,3/17,36.26,9.62,22.6,0,0,South Africa,,125.0,700,Punjab Kings
M Markande,2018-2026,40,11,8,48,18*,16,42,114.28,0,0,0,5,1,40,125.0,0,1145,37,4/15,30.94,9.16,20.2,2,0,India,,30.0,30,Kolkata Knight Riders
M Prasidh Krishna,2018-2026,78,11,8,15,6*,5,31,48.38,0,0,2,1,0,78,288.5,3,2598,90,4/28,28.86,8.99,19.2,3,0,India,,200.0,950,Gujarat Titans
M Siddharth,2024-2026,9,-,-,-,-,-,-,-,-,-,-,-,-,9,31.0,0,283,9,2/35,31.44,9.12,20.6,0,0,India,Bowler,30.0,75,Lucknow Super Giants
M Theekshana,2022-2025,38,6,3,17,7*,5.66,34,50,0,0,1,0,1,38,146.0,1,1207,36,4/33,33.52,8.26,24.3,1,0,Sri Lanka,,200.0,440,Rajasthan Royals
M Tiwari,2025-2026,4,2,1,21,18*,21,12,175,0,0,0,2,1,3,10.0,0,87,4,2/27,21.75,8.7,15,0,0,India,All-rounder,30.0,40,Delhi Capitals
MA Starc,2014-2026,58,25,13,111,29,9.25,121,91.73,0,0,4,11,0,55,196.3,1,1727,76,5/35,22.72,8.78,15.5,3,1,Australia,Bowler,200.0,1175,Delhi Capitals
MJ Santner,2019-2026,35,21,13,136,22,17,123,110.56,0,0,1,9,6,35,114.3,0,860,30,3/11,28.66,7.51,22.9,0,0,New Zealand,All-rounder,200.0,200,Mumbai Indians
MJ Suthar,2024-2026,5,1,0,1,1,1,2,50,0,0,0,0,0,4,8.0,0,94,2,1/19,47,11.75,24,0,0,India,,30.0,30,Gujarat Titans
MK Lomror,2018-2024,40,35,6,527,54*,18.17,373,141.28,0,1,3,33,30,11,15.0,0,127,1,1/22,127,8.46,90,0,0,India,,30.0,170,Gujarat Titans
MK Pandey,2008-2026,180,164,28,4012,114*,29.5,3293,121.83,1,22,14,348,117,-,-,-,-,-,-,-,-,-,-,-,India,Batter,75.0,75,Kolkata Knight Riders
MM Sharma,2013-2025,120,33,15,125,21*,6.94,136,91.91,0,0,5,8,4,119,400.3,0,3513,134,5/10,26.21,8.77,17.9,3,1,India,,50.0,220,Delhi Capitals
MP Breetzke,2025-2025,1,1,0,14,14,14,12,116.66,0,0,0,1,1,-,-,-,-,-,-,-,-,-,-,-,South Africa,Batter,,75,Lucknow Super Giants
MP Stoinis,2016-2026,122,108,30,2242,124*,28.74,1520,147.5,1,10,10,181,117,75,155.5,0,1547,46,4/15,33.63,9.92,20.3,1,0,Australia,,200.0,1100,Punjab Kings
MR Marsh,2010-2026,68,62,2,1855,117,30.91,1249,148.51,2,12,7,155,111,34,93.2,1,795,37,4/25,21.48,8.51,15.1,2,0,Australia,,200.0,340,Lucknow Super Giants
MS Bhandage,2025-2025,1,1,0,1,1,1,4,25,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,India,All-rounder,30.0,30,Royal Challengers Bengaluru
Mohammed Shami,2013-2026,132,36,17,115,21,6.05,111,103.6,0,0,6,9,5,132,485.2,3,4208,145,4/11,29.02,8.67,20,2,0,India,Bowler,200.0,1000,Sunrisers Hyderabad
Mohammed Siraj,2017-2026,125,28,16,117,14*,9.75,139,84.17,0,0,3,11,4,125,445.2,5,3911,128,4/17,30.55,8.78,20.8,3,0,India,Bowler,200.0,1225,Gujarat Titans
Mohit Rathee,2023-2023,1,1,1,1,1*,-,2,50,0,0,0,0,0,1,2.0,0,29,0,-,-,14.5,-,0,0,India,Bowler,30.0,30,Royal Challengers Bengaluru
Mukesh Choudhary,2022-2026,24,3,2,8,4,8,8,100,0,0,0,1,0,24,80.3,0,771,25,4/46,30.84,9.57,19.3,1,0,India,Bowler,30.0,30,Chennai Super Kings
Mukesh Kumar,2023-2026,42,5,4,10,6*,10,18,55.55,0,0,0,0,0,42,137.2,1,1455,42,4/33,34.64,10.59,19.6,1,0,India,,200.0,800,Delhi Capitals
Musheer Khan,2025-2025,1,1,0,0,0,0,3,0,0,0,1,0,0,1,2.0,0,27,1,1/27,27,13.5,12,0,0,India,All-rounder,30.0,30,Punjab Kings
N Rana,2016-2026,127,121,10,3078,91,27.72,2235,137.71,0,22,8,288,151,27,36.0,0,325,10,2/11,32.5,9.02,21.6,0,0,India,,150.0,420,Rajasthan Royals
N Sindhu,2026-2026,8,5,0,63,22,12.6,50,126,0,0,0,7,2,-,-,-,-,-,-,-,-,-,-,-,India,,30.0,30,Gujarat Titans
N Thushara,2024-2025,8,-,-,-,-,-,-,-,-,-,-,-,-,8,30.0,0,283,9,3/28,31.44,9.43,20,0,0,Sri Lanka,Bowler,75.0,160,Royal Challengers Bengaluru
N Wadhera,2023-2026,44,37,4,784,70,23.75,560,140,0,4,2,64,43,2,2.5,0,22,0,-,-,7.76,-,0,0,India,,30.0,420,Punjab Kings
NT Ellis,2021-2025,17,5,1,19,12,4.75,25,76,0,0,2,0,1,17,63.0,0,546,19,4/30,28.73,8.66,19.8,1,0,Australia,Bowler,100.0,200,Chennai Super Kings
Naman Dhir,2024-2026,37,33,7,710,62*,27.3,433,163.97,0,3,5,67,36,5,8.4,0,76,0,-,-,8.76,-,0,0,India,,30.0,525,Mumbai Indians
Noor Ahmad,2023-2026,51,17,6,31,8,2.81,58,53.44,0,0,2,2,1,51,183.0,0,1495,61,4/18,24.5,8.16,18,2,0,Afghanistan,,200.0,1000,Chennai Super Kings
P Arya,2025-2026,30,30,0,839,103,27.96,437,191.99,1,5,3,82,57,-,-,-,-,-,-,-,-,-,-,-,India,All-rounder,30.0,380,Punjab Kings
P Dubey,2020-2025,5,2,1,23,16,23,33,69.69,0,0,0,2,0,5,13.0,0,111,2,1/19,55.5,8.53,39,0,0,India,All-rounder,30.0,30,Punjab Kings
PD Salt,2023-2026,40,40,3,1258,89*,34,721,174.47,0,12,4,138,67,-,-,-,-,-,-,-,-,-,-,-,England,,200.0,1150,Royal Challengers Bengaluru
PVD Chameera,2022-2026,20,12,8,53,17,13.25,45,117.77,0,0,2,3,3,19,64.0,0,621,13,2/17,47.76,9.7,29.5,0,0,Sri Lanka,Bowler,75.0,75,Delhi Capitals
PW Hasaranga,2021-2025,37,19,4,81,18,5.4,88,92.04,0,0,5,7,1,37,133.0,1,1119,46,5/18,24.32,8.41,17.3,2,1,Sri Lanka,,200.0,525,Rajasthan Royals
Prince Yadav,2025-2026,20,3,3,5,4*,-,11,45.45,0,0,0,0,0,20,74.5,0,684,19,3/32,36,9.14,23.6,0,0,India,All-rounder,30.0,30,Lucknow Super Giants
Q de Kock,2013-2026,118,118,8,3441,140*,31.28,2550,134.94,3,24,4,334,143,-,-,-,-,-,-,-,-,-,-,-,South Africa,,200.0,360,Kolkata Knight Riders
R Ashwin,2009-2025,221,98,34,833,50,13.01,705,118.15,0,1,12,64,29,217,785.0,4,5652,187,4/34,30.22,7.2,25.1,1,0,India,,200.0,975,Chennai Super Kings
R Minz,2025-2026,4,4,1,12,5,4,19,63.15,0,0,0,1,0,-,-,-,-,-,-,-,-,-,-,-,India,,30.0,65,Mumbai Indians
R Powell,2022-2026,40,30,5,555,67*,22.2,390,142.3,0,1,2,38,38,2,3.0,0,35,1,1/18,35,11.66,18,0,0,West Indies,,150.0,150,Kolkata Knight Riders
R Ravindra,2024-2025,18,18,1,413,65*,24.29,287,143.9,0,2,2,40,16,2,2.0,0,7,0,-,-,3.5,-,0,0,New Zealand,,150.0,400,Chennai Super Kings
R Sai Kishore,2022-2026,28,5,1,18,13,4.5,16,112.5,0,0,0,0,2,27,77.3,0,697,33,4/33,21.12,8.99,14,1,0,India,All-rounder,75.0,200,Gujarat Titans
R Shepherd,2022-2026,33,19,8,268,53*,24.36,153,175.16,0,1,2,18,22,28,60.0,0,706,17,3/54,41.52,11.76,21.1,0,0,West Indies,All-rounder,150.0,150,Royal Challengers Bengaluru
RA Bawa,2022-2026,8,4,1,35,16,11.66,32,109.37,0,0,1,2,0,2,4.0,0,50,2,1/11,25,12.5,12,0,0,India,All-rounder,30.0,30,Mumbai Indians
RA Tripathi,2017-2025,100,98,11,2291,93,26.33,1662,137.84,0,12,4,229,85,1,1.0,0,12,0,-,-,12,-,0,0,India,,75.0,340,Chennai Super Kings
RD Chahar,2017-2026,80,24,8,129,25*,8.06,124,104.03,0,0,8,13,5,79,282.2,1,2196,75,4/27,29.28,7.77,22.5,1,0,India,,100.0,320,Sunrisers Hyderabad
RD Rickelton,2025-2026,26,26,2,836,123*,34.83,497,168.2,1,5,0,78,55,-,-,-,-,-,-,-,-,-,-,-,South Africa,,100.0,100,Mumbai Indians
RJW Topley,2023-2025,6,1,1,3,3*,-,6,50,0,0,0,0,0,6,20.0,0,222,5,2/27,44.4,11.1,24,0,0,England,Bowler,75.0,75,Mumbai Indians
RR Pant,2016-2026,139,136,21,3865,128*,33.6,2633,146.79,2,20,7,349,181,-,-,-,-,-,-,-,-,-,-,-,India,Batter,200.0,2700,Lucknow Super Giants
RS Ghosh,2026-2026,1,-,-,-,-,-,-,-,-,-,-,-,-,1,3.0,0,24,1,1/24,24,8,18,0,0,India,All-rounder,30.0,30,Chennai Super Kings
RS Hangargekar,2023-2023,2,-,-,-,-,-,-,-,-,-,-,-,-,2,6.0,0,60,3,3/36,20,10,12,0,0,India,All-rounder,30.0,30,Lucknow Super Giants
Rahmanullah Gurbaz,2023-2025,19,18,1,363,81,21.35,269,134.94,0,2,2,34,22,-,-,-,-,-,-,-,-,-,-,-,Afghanistan,,200.0,200,Kolkata Knight Riders
Rasikh Salam,2019-2026,25,8,3,43,10,8.6,42,102.38,0,0,0,5,0,25,81.2,1,814,29,4/24,28.06,10,16.8,1,0,India,,30.0,600,Royal Challengers Bengaluru
S Gopal,2014-2024,52,22,8,180,24,12.85,169,106.5,0,0,4,19,2,51,165.1,1,1349,52,4/16,25.94,8.16,19,1,0,India,,30.0,30,Chennai Super Kings
S Joseph,2024-2024,1,-,-,-,-,-,-,-,-,-,-,-,-,1,4.0,0,47,0,-,-,11.75,-,0,0,West Indies,Bowler,75.0,75,Lucknow Super Giants
SB Dubey,2024-2026,20,17,7,220,34*,22,143,153.84,0,0,1,17,13,-,-,-,-,-,-,-,-,-,-,-,India,Batter,30.0,80,Rajasthan Royals
SE Rutherford,2019-2026,31,27,6,520,71*,24.76,364,142.85,0,1,2,30,38,6,6.5,0,59,1,1/6,59,8.63,41,0,0,West Indies,Batter,150.0,260,Gujarat Titans
SH Johnson,2024-2026,12,6,5,8,5*,8,12,66.66,0,0,1,1,0,12,38.2,0,396,7,2/25,56.57,10.33,32.8,0,0,Australia,Bowler,200.0,280,Kolkata Knight Riders
SK Rasheed,2025-2025,5,5,0,71,27,14.2,63,112.69,0,0,1,9,2,-,-,-,-,-,-,-,-,-,-,-,India,Batter,30.0,30,Chennai Super Kings
SM Curran,2019-2025,64,53,13,997,88,24.92,731,136.38,0,6,4,85,41,63,208.5,0,2033,59,4/11,34.45,9.73,21.2,1,0,England,,200.0,240,Chennai Super Kings
SS Iyer,2015-2026,147,145,27,4229,101*,35.83,3093,136.72,1,32,7,353,182,1,1.0,0,7,0,-,-,7,-,0,0,India,Batter,200.0,2675,Punjab Kings
Sachin Baby,2013-2025,20,11,2,144,33,16,118,122.03,0,0,1,11,5,2,1.4,0,8,2,2/4,4,4.8,5,0,0,India,Batter,30.0,30,Sunrisers Hyderabad
Sameer Rizvi,2024-2026,24,18,4,424,90,30.28,293,144.7,0,3,3,30,26,-,-,-,-,-,-,-,-,-,-,-,India,,30.0,95,Delhi Capitals
Shahbaz Ahmed,2020-2026,63,40,11,603,59*,20.79,489,123.31,0,1,1,33,28,50,109.1,0,1069,27,3/7,39.59,9.79,24.2,0,0,India,All-rounder,100.0,240,Lucknow Super Giants
Simarjeet Singh,2022-2025,14,6,3,10,3*,3.33,15,66.66,0,0,2,0,0,14,40.0,0,400,11,3/26,36.36,10,21.8,0,0,India,,30.0,150,Sunrisers Hyderabad
Suryansh Shedge,2025-2026,12,10,3,165,57,23.57,101,163.36,0,1,0,9,12,1,3.0,0,40,0,-,-,13.33,-,0,0,India,All-rounder,30.0,30,Punjab Kings
Suyash Sharma,2023-2026,39,-,-,-,-,-,-,-,-,-,-,-,-,39,133.5,1,1190,27,3/17,44.07,8.89,29.7,0,0,India,,30.0,260,Royal Challengers Bengaluru
Swapnil Singh,2016-2024,14,9,4,51,15*,10.2,45,113.33,0,0,2,3,3,14,27.0,0,241,7,2/28,34.42,8.92,23.1,0,0,India,All-rounder,30.0,50,Royal Challengers Bengaluru
T Natarajan,2017-2026,73,5,5,4,3*,-,7,57.14,0,0,0,0,0,72,257.4,2,2374,72,4/19,32.97,9.21,21.4,1,0,India,,200.0,1075,Delhi Capitals
